"PartitionKey","RowKey","WeekNumber","MonthNumber","YearNumber","Duration"
"89fe4a65-76ab-4126-82e2-52f425c11f21","22_5_2020","22","5","2020","41"
"9fbd8b04-ea58-47df-bacb-6f14eedec3fa","25_6_2020","25","6","2020","40"
"fcf15fac-0256-49af-b093-0235c4585e34","25_6_2020","25","6","2020","35.5"
"fcf15fac-0256-49af-b093-0235c4585e34","21_5_2020","21","5","2020","31"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","15_4_2020","15","4","2020","24.5"
"b6380033-1ff3-456e-b518-a7666e0c72e7","33_8_2020","33","8","2020","40"
"32cff9bb-65a2-4122-ad00-399992f58ea6","27_7_2020","27","7","2020","27.5"
"583ee621-6cb0-4fb0-b82e-f60232e3e57e","16_4_2020","16","4","2020","32"
"360c64e0-63a2-409c-b2f2-5a73c3bdf70b","22_5_2020","22","5","2020","39"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","19_5_2020","19","5","2020","53.5"
"9fbd8b04-ea58-47df-bacb-6f14eedec3fa","29_7_2020","29","7","2020","40"
"49c65b55-8526-495b-94f2-3c653e2c1fb4","33_8_2020","33","8","2020","42.5"
"e0778632-e76a-49ba-9b1d-eb01eb8d8df5","23_6_2020","23","6","2020","30"
"f3c0fc94-161b-4960-ae2c-82fa663d1143","22_5_2020","22","5","2020","40"
"89a590ca-884f-4936-b62d-c8f76d79002c","28_7_2020","28","7","2020","40"
"89fe4a65-76ab-4126-82e2-52f425c11f21","32_8_2020","32","8","2020","40.75"
